planet_name,host_star_name,orbital_period_day,orbit_semi_major_axis_au,planet_rad_earth_rad,planet_rad_jup_rad,planet_mass_earth_mass,planet_mass_jup_mass,Eccentricity,planet_equil_temp_k,spectral_type,stellar_effective_temp_k,stellar_rad_solar_rad,stellar_mass_solar_mass,distance_parsec,stellar_surf_grav,declination_deg,discovery_method
Kepler-1554 b,Kepler-1554,198.0883889,0.627275,2.844166667,0.25,,,0,271.5,,5299,0.801111111,0.8525,946.847,4.56625,41.7415762,Transit
Kepler-1555 b,Kepler-1555,8.105003753,0.080875,1.660166667,0.1725,,,0,964.25,,6073.875,1.20875,1.058571429,2013.27,4.347142857,45.7160327,Transit
Kepler-1556 b,Kepler-1556,8.827151459,0.082225,1.908833333,0.161,,,0,874.25,,5649.371111,0.908888889,0.9625,944.54,4.50125,40.2131892,Transit
Kepler-1557 b,Kepler-1557,3.74032273,0.0487,1.389333333,0.1295,,,0,1270.5,,6138.76,1.0725,1.091428571,1380.16,4.414285714,46.8388172,Transit
Kepler-1558 b,Kepler-1558,3.504708733,0.0419,0.758,0.0615,,,0,1019,,5081.985,0.80875,0.812857143,325.737,4.524285714,46.9117837,Transit
Kepler-1559 b,Kepler-1559,0.971915791,0.018525,0.733,0.067,,,0,1588,,5298.4525,0.855,0.894285714,614.827,4.532857143,42.0725948,Transit
Kepler-156 b,Kepler-156,4.973452688,0.0531,2.458875,0.219333333,,,0,852.2,,5068.212727,0.785454545,0.814444444,443.483,4.565,37.7494271,Transit
Kepler-156 c,Kepler-156,15.90686564,0.115066667,2.45125,0.223666667,,,0,578.8,,5068.212727,0.785454545,0.814444444,443.483,4.565,37.7494271,Transit
Kepler-1560 b,Kepler-1560,3.031961797,0.0397,0.9,0.079,,,0,1269.75,,5739.815,0.99375,0.951428571,502.497,4.415714286,43.21601,Transit
Kepler-1561 b,Kepler-1561,1.005206801,0.0194,0.925666667,0.0905,,,0,1682.75,,5741.875,0.93875,0.99,839.076,4.494285714,43.5664628,Transit
Kepler-1562 b,Kepler-1562,64.27271508,0.332975,4.916166667,0.4445,,,0,566,,6094.142222,1.48,1.11,2060.72,4.16125,46.7435353,Transit
Kepler-1563 b,Kepler-1563,3.432755979,0.0442,0.732,0.067,,,0,1134,,5713.002857,0.902,0.976,616.697,4.522,51.4727698,Transit
Kepler-1564 b,Kepler-1564,18.05398702,0.132625,1.452,0.135,,,0,626,,5507.777778,0.912222222,0.9475,908.805,4.50375,46.6427486,Transit
Kepler-1565 b,Kepler-1565,1.538186591,0.024025,1.209666667,0.108,,,0,1238.5,,5030,0.72375,0.781428571,629.93,4.61,40.8067876,Transit
Kepler-1566 b,Kepler-1566,0.539915243,0.011875,0.73,0.0675,,,0,1763,,5137.375,0.75,0.8,466.586,4.595714286,40.5749018,Transit
Kepler-1567 b,Kepler-1567,153.9812484,0.552,2.6255,0.233,,,0,330,,5736.888889,0.915555556,0.95625,1206.11,4.495,40.2918894,Transit
Kepler-1568 b,Kepler-1568,20.92541711,0.1499,1.332333333,0.1155,,,0,729.75,,5883.333333,1.228888889,1.055,916.313,4.28125,47.8733301,Transit
Kepler-1569 b,Kepler-1569,5.79180082,0.06435,1.459,0.148,,,0,1148.5,,6187.134286,1.225714286,1.103333333,945.454,4.311666667,37.2212065,Transit
Kepler-157 b,Kepler-157,1.732341971,0.028166667,1.309,0.122666667,,,0,1518.8,,5858.552,1.013,1.00875,773.713,4.436666667,38.8756049,Transit
Kepler-157 c,Kepler-157,13.54054466,0.111066667,2.28125,0.212666667,,,0,764.2,,5846.616364,1.023636364,1.01,773.713,4.427,38.8756049,Transit
Kepler-157 d,Kepler-157,7.025740235,0.0718,1.453428571,0.1395,,,0,951.8,,5867.946667,1.01,1.00875,773.713,4.4425,38.8756049,Transit
Kepler-1570 b,Kepler-1570,26.54878199,0.1784,2.242333333,0.1425,,,0,836,,5499.888889,1.828888889,1.02125,918.995,3.9475,45.8274232,Transit
Kepler-1571 b,Kepler-1571,3.385561777,0.0432,1.558666667,0.129,,,0,1476,,5749.86,1.4025,0.995714286,675.303,4.128571429,45.5964836,Transit
Kepler-1572 b,Kepler-1572,5.495475487,0.0614,1.2655,0.103,,,0,1293,,5987.43,1.36125,1.03,946.602,4.198571429,46.7227061,Transit
Kepler-1573 b,Kepler-1573,2.615757984,0.0364,1.173333333,0.113,,,0,1378.25,,5965.125,1.0625,0.967142857,1455.36,4.397142857,49.4849664,Transit
Kepler-1574 b,Kepler-1574,6.942447231,0.0743,1.3175,0.123,,,0,1003,,5982.625,1.09625,1.088571429,1384.16,4.402857143,49.6377914,Transit
Kepler-1575 b,Kepler-1575,2.553146019,0.0366,1.313,0.1175,,,0,1312,,5867.125,0.93625,0.998571429,1246.92,4.498571429,45.7615507,Transit
Kepler-1576 b,Kepler-1576,6.984718843,0.072675,1.095833333,0.0865,,,0,1061.25,,5788.7525,1.1075,1.037142857,460.91,4.354285714,40.3660239,Transit
